case_code,date,year,month,day,hour,zip_code,escalated,mobile,city,state,location_primary,school_level,offender_count,relationship,weapon_primary,weapon_pistol_tot,weapon_shotgun_tot,weapon_rifle_tot,weapon_tot,shot_tot,shot_tot_incl,shot_cit_tot,shot_le_tot,shot_guard_tot,wound_tot,wound_tot_incl,wound_cit_tot,wound_le_tot,wound_guard_tot,kill_tot,kill_tot_incl,kill_cit_tot,kill_le_tot,kill_guard_tot,resolution,resolved_pre_le,age_1,age_2,age_3,sex_1,sex_2,sex_3,race_1,race_2,race_3
271,2017-06-05,2017,Jun,Mon,8,32806,No,No,Orlando,FL,Business,,1,Other,Pistol,1,0,0,2,5,5,5,0,0,0,0,0,0,0,5,5,5,0,0,Suicide before police arrival,Yes,45,,,Male,,,Caucasian,,
272,2017-06-08,2017,Jun,Thu,1,18657,No,No,Tunkhannock,PA,Business,,1,Coworker,Shotgun,0,2,0,2,3,3,3,0,0,0,0,0,0,0,3,3,3,0,0,Suicide before police arrival,Yes,24,,,Male,,,Caucasian,,
273,2017-06-14,2017,Jun,Wed,7,22301,No,No,Alexandria,VA,Outdoors,,1,No relationship,Rifle,1,0,1,2,4,4,3,1,0,4,4,3,1,0,0,0,0,0,0,Shot by police,No,66,,,Male,,,Caucasian,,
274,2017-06-15,2017,Jun,Thu,8,94103,No,No,San Francisco,CA,Business,,1,Coworker,Pistol,2,0,0,2,5,8,5,0,0,2,5,2,0,0,3,3,3,0,0,Suicide after police arrival,No,38,,,Male,,,Asian,,
275,2017-06-15,2017,Jun,Thu,15,87510,No,No,Abiquiu,NM,Outdoors,,1,No relationship,Pistol,1,0,0,1,2,5,2,0,0,0,0,0,0,0,2,5,2,0,0,Subdued by police,No,21,,,Male,,,Latino,,
276,2017-06-30,2017,Jun,Fri,14,10451,No,No,Bronx,NY,Other,,1,Other,Rifle,0,0,0,1,7,7,7,0,0,6,6,6,0,0,1,1,1,0,0,Suicide before police arrival,Yes,45,,,Male,,,African American,,
277,2017-07-30,2017,Jul,Sun,16,81522,No,No,Gateway,CO,Outdoors,,1,No relationship,Pistol,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fled,Yes,54,,,Male,,,Caucasian,,
278,2017-08-12,2017,Aug,Sat,13,22901,No,No,Charlottesville,VA,Outdoors,,1,No relationship,Vehicle,0,0,0,0,0,0,0,0,0,35,,35,0,0,1,,1,0,0,Fled,Yes,20,,,Male,,,Caucasian,,
279,2017-08-28,2017,Aug,Mon,16,88101,No,No,Clovis,NM,Other,,1,No relationship,Pistol,1,0,0,1,6,6,6,0,0,4,4,4,0,0,2,2,2,0,0,Surrendered,No,16,,,Male,,,Caucasian,,
280,2017-09-13,2017,Sep,Wed,10,99030,No,No,Rockford,WA,School,High school,1,Student,Rifle,1,0,1,2,4,4,4,0,0,3,3,3,0,0,1,1,1,0,0,Subdued by citizens,Yes,15,,,Male,,,Caucasian,,
